Gene_acc,Gene_id,bsf_median,pcf_median,rank_bsf_median,rank_pcf_median,Desc,Protein IDs
64,Tb10.v4.0219,5.915779338415216,5.4573466886242405,3633.0,2570.0,"retrotransposon hot spot protein (RHS, pseudogene), putative",Tb10.v4.0219:pseudogenic_transcript-p1
65,Tb927.10.6900,5.845483209251326,5.573344695289217,3429.0,2963.0,base J-associated glucosyltransferase,Tb927.10.6900:mRNA-p1;Tb10.v4.0246:mRNA-p1
66,Tb927.10.6950,5.3300106606075826,6.578021384376528,2099.0,5531.0,"sterol 24-c-methyltransferase, putative",Tb927.10.6950:mRNA-p1;Tb927.10.6910:mRNA-p1;Tb11.v5.0496.1-p1;Tb10.v4.0247:mRNA-p1
67,Tb927.10.6920,6.820297856024057,6.448074204033316,5497.0,5326.0,hypothetical protein,Tb927.10.6920:mRNA-p1;Tb10.v4.0248:mRNA-p1
68,Tb927.10.6930,4.90956254874871,4.237074458647852,1047.0,11.0,"Cullin family/Cullin protein neddylation domain containing protein, putative",Tb927.10.6930:mRNA-p1;Tb10.v4.0249:mRNA-p1
69,Tb11.01.2730,5.660792423243683,4.310264480851182,2969.0,28.0,"hypothetical protein, conserved",Tb11.01.2730.1-p1
70,Tb11.01.6250,4.783169269449004,5.708004941902114,806.0,3422.0,"expression site-associated gene 11 (ESAG11) protein, putative",Tb11.01.6250:mRNA-p1
71,Tb11.02.5070b,5.332726377077781,5.9748787339898755,2107.0,4288.0,"hypothetical protein, conserved",Tb11.02.5070b.1-p1;Tb927.11.7212:mRNA-p1
72,Tb927.11.7213,6.8593162657528115,5.676700004344533,5564.0,3305.0,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative",Tb927.11.7213:mRNA-p1;Tb11.02.5080b.1-p1
73,Tb11.02.5090b,5.533812358141148,5.659540021689258,2582.0,3248.0,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene",Tb11.02.5090b.1-p1;Tb11.02.5090.1-p1
74,Tb927.11.7214,4.764900341446289,5.209083307458098,770.0,1675.0,"hypothetical protein, conserved",Tb927.11.7214:mRNA-p1;Tb11.02.5100b.1-p1
75,Tb11.02.5105b,5.0118262232599715,6.534973655651475,1290.0,5464.0,"hypothetical protein, conserved",Tb11.02.5105b.1-p1;Tb11.02.5105:mRNA-p1
76,Tb927.11.7216,4.425021142494216,4.712948384897647,225.0,350.0,"origin recognition complex subunit 1 (ORC1), putative",Tb927.11.7216.1-p1;Tb11.02.5110b.1-p1
77,Tb927.11.7218,4.434271664402959,5.445674780230863,233.0,2540.0,mitochondrial edited mRNA stability factor 1 subunit,Tb927.11.7218:mRNA-p1;Tb11.02.5120b.1-p1
78,Tb11.02.5360b,5.152582652833502,6.225494641242171,1648.0,4900.0,"hypothetical protein, conserved",Tb11.02.5360b.1-p1;Tb11.02.5360:mRNA-p1
79,Tb11.02.5370b,5.115604547083541,4.834074034985109,1539.0,557.0,"hypothetical protein, conserved",Tb11.02.5370b.1-p1;Tb11.02.5370.1-p1
80,Tb11.02.5380b,6.0652107936326525,5.439806097667286,4007.0,2515.0,"exosome complex exonuclease RRP44p homologue, putative",Tb11.02.5380b.1-p1;Tb11.02.5380.1-p1
81,Tb11.02.5390b,5.626453921528556,5.992706286753004,2874.0,4339.0,"mRNA processing protein, putative",Tb11.02.5390b.1-p1;Tb11.02.5390:mRNA-p1
82,Tb11.02.5400b,5.506933875017422,7.234013708575427,2514.0,6192.0,"cystathionine beta-synthase, putative",Tb11.02.5400b.1-p1;Tb11.02.5400:mRNA-p1
83,Tb11.02.5410b,5.714859888135263,6.141611901304326,3117.0,4712.0,"ubiquitin activating enzyme, putative",Tb11.02.5410b:mRNA-p1;Tb11.02.5410:mRNA-p1
84,Tb11.02.5420b,7.025286774558244,6.315071263720104,5785.0,5072.0,"NADPH-cytochrome p450 reductase, putative",Tb11.02.5420b.1-p1;Tb11.02.5420:mRNA-p1
85,Tb11.02.5430b,5.849268920965307,5.673998494633927,3444.0,3293.0,"hypothetical protein, conserved",Tb11.02.5430b.1-p1;Tb11.02.5430:mRNA-p1
86,Tb927.6.4980,8.36509190582744,8.15071697279113,6580.0,6572.0,40S ribosomal protein S14,Tb927.6.4980:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb11.0390:mRNA-p1;Tb11.0290:mRNA-p1
87,Tb927.11.7690,4.539133667964149,4.746285679911406,355.0,405.0,hypothetical protein,Tb927.11.7690.1-p1;Tb11.0320:mRNA-p1
88,Tb927.11.7660,4.6547858987467885,4.864903527924177,562.0,615.0,hypothetical protein,Tb927.11.7660.1-p1;Tb11.0340:mRNA-p1
89,Tb927.11.7650,6.208346922105101,4.951474795251812,4332.0,817.0,hypothetical protein,Tb927.11.7650.1-p1;Tb11.0350:mRNA-p1
90,Tb11.0400,5.3803322113839185,7.335748519872061,2227.0,6262.0,"P27 protein, putative",Tb11.0400:mRNA-p1;Tb927.11.7700.1-p1;Tb11.0300:mRNA-p1
91,Tb927.10.1130,6.331130134638752,5.677246525616991,4615.0,3306.0,"dynein arm light chain, axonemal, putative",Tb927.10.1130:mRNA-p1;Tb11.0520:mRNA-p1
92,Tb927.10.1140,5.692523318379554,5.295552972159447,3055.0,1977.0,epsilon tubulin,Tb927.10.1140:mRNA-p1;Tb11.0530:mRNA-p1
93,Tb927.10.1150,4.517780322234269,4.926975828663894,326.0,752.0,"hypothetical protein, conserved",Tb927.10.1150:mRNA-p1;Tb11.0540:mRNA-p1
94,Tb927.10.1160,5.446733710395389,5.630956334725756,2384.0,3147.0,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative",Tb927.10.1160:mRNA-p1;Tb11.0550:mRNA-p1
95,Tb11.0820,4.953984343258283,5.0910638222216935,1141.0,1293.0,"retrotransposon hot spot protein 4 (RHS4, pseudogene), putative",Tb11.0820:pseudogenic_transcript-p1;Tb11.v5.0295.1-p1;Tb11.v5.0294.1-p1
96,Tb927.11.715,8.463434243760302,7.159336082922555,6590.0,6141.0,"dynein light chain LC8, putative",Tb927.11.715:mRNA-p1;Tb927.11.18680:mRNA-p1;Tb11.0845:mRNA-p1
97,Tb11.0870,4.310015155584662,4.605208148165961,125.0,204.0,hypothetical protein,Tb11.0870:mRNA-p1;Tb927.11.690:mRNA-p1
98,Tb927.4.1100,8.339693904381532,7.841886140738094,6574.0,6493.0,"ribosomal protein L21E (60S), putative",Tb927.4.1100:mRNA-p1;Tb927.11.680:mRNA-p1;Tb11.0880:mRNA-p1
99,Tb11.1220,7.416394128242853,6.978648118444352,6189.0,5990.0,hypothetical protein,Tb11.1220:mRNA-p1;Tb11.v5.0996.1-p1;Tb927.10.15250:mRNA-p1
100,Tb927.10.15260,4.0663925076643554,4.297690291440726,14.0,27.0,"leucine-rich repeat protein (LRRP), putative",Tb927.10.15260:mRNA-p1;Tb11.v5.0997.1-p1;Tb11.1230:mRNA-p1
101,Tb927.10.15270,6.73806321328743,6.110854456900955,5388.0,4627.0,"metallo- peptidase, Clan MG, Family M24",Tb927.10.15270:mRNA-p1;Tb11.v5.0998.1-p1;Tb11.1240:mRNA-p1
102,Tb927.11.1840,7.9860542285184035,7.626687373622137,6457.0,6404.0,"hypothetical protein, conserved",Tb927.11.1840:mRNA-p1;Tb11.1380.1-p1
103,Tb927.11.1830,4.234041467401852,6.374160692892975,88.0,5188.0,"hypothetical protein, conserved",Tb927.11.1830:mRNA-p1;Tb11.1390.1-p1
104,Tb927.11.1810,5.802308416285261,5.453844916562493,3315.0,2564.0,"Ring finger domain containing protein, putative",Tb927.11.1810:mRNA-p1;Tb11.1410.1-p1
105,Tb11.1780.1-p1,6.846882824071591,5.947822470921953,5545.0,4214.0,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative",Tb11.1780.1-p1
106,Tb11.1790.1-p1,6.8690353409584075,6.726167339630126,5584.0,5729.0,"retrotransposon hot spot protein (RHS, pseudogene), putative",Tb11.1790.1-p1;Tb927.11.17840:pseudogenic_transcript-p1;Tb927.5.160:pseudogenic_transcript-p1
107,Tb927.7.4590,5.222582577622669,5.698700845836488,1809.0,3372.0,"chaperone protein DnaJ, putative",Tb927.7.4590:mRNA-p1;Tb11.v5.0146.1-p1
108,Tb927.7.4600,4.594579379332239,4.589272919394146,454.0,189.0,"Calponin homology (CH) domain containing protein, putative",Tb927.7.4600:mRNA-p1;Tb11.v5.0147.1-p1
109,Tb927.7.4650,4.68410951211714,4.807377030337319,618.0,506.0,J Biosynthesis Protein 2,Tb927.7.4650:mRNA-p1;Tb11.v5.0150.1-p1
110,Tb927.7.4660,4.872360986759798,5.04410170457758,980.0,1091.0,"hypothetical protein, conserved",Tb927.7.4660:mRNA-p1;Tb11.v5.0151.1-p1
111,Tb927.7.4690,6.175102755287437,5.055487046954534,4248.0,1144.0,hypothetical protein,Tb927.7.4690:mRNA-p1;Tb11.v5.0153.1-p1
112,Tb11.v5.0154,6.471658227908443,5.084945469597431,4935.0,1253.0,"WD domain, G-beta repeat, putative",Tb11.v5.0154.1-p1
113,Tb927.7.4720,5.526124433822382,6.259919053918544,2563.0,4971.0,hypothetical protein,Tb927.7.4720:mRNA-p1;Tb11.v5.0155.1-p1
114,Tb927.7.4730,4.489130880621626,4.652928246046775,288.0,268.0,pumilio/PUF RNA binding protein 5,Tb927.7.4730:mRNA-p1;Tb11.v5.0156.1-p1
115,Tb927.7.4740,5.941506697924734,5.4047117617056175,3691.0,2407.0,"hypothetical protein, conserved",Tb927.7.4740:mRNA-p1;Tb11.v5.0157.1-p1
116,Tb927.7.4750,6.025028015681055,5.275864174098079,3907.0,1905.0,"hypothetical protein, conserved",Tb927.7.4750:mRNA-p1;Tb11.v5.0158.1-p1
117,Tb927.7.4770,8.030879061868928,7.6604504049607645,6470.0,6417.0,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative",Tb927.7.4770:mRNA-p1;Tb11.v5.0160.1-p1
118,Tb927.7.4780,6.787284446059697,6.313181225646008,5455.0,5068.0,"conserved hypothetical protein, putative",Tb927.7.4780:mRNA-p1;Tb11.v5.0161.1-p1
119,Tb11.v5.0162,7.333849566755114,7.268455512280811,6127.0,6228.0,proteasome beta 6 subunit,Tb11.v5.0162.1-p1;Tb927.7.4790:mRNA-p1
120,Tb927.7.4810,6.030693183819501,4.9476211540716015,3919.0,805.0,"HD domain containing protein, putative",Tb927.7.4810:mRNA-p1;Tb11.v5.0163.1-p1
121,Tb927.7.4820,6.78316756390387,6.316454188404311,5451.0,5073.0,"Trm112p-like protein, putative",Tb927.7.4820:mRNA-p1;Tb11.v5.0164.1-p1
122,Tb927.7.4830,4.762073909748394,5.165400740330162,761.0,1521.0,"kinesin, putative",Tb927.7.4830:mRNA-p1;Tb11.v5.0165.1-p1
123,Tb927.7.4840,6.303097507266582,6.2740437189053635,4556.0,4999.0,"hypothetical protein, conserved",Tb927.7.4840:mRNA-p1;Tb11.v5.0166.1-p1
124,Tb927.7.4850,4.971210774387884,5.054091870356521,1187.0,1135.0,kinetoplastid kinetochore protein 5,Tb927.7.4850:mRNA-p1;Tb11.v5.0167.1-p1
125,Tb927.7.4860,5.480008844886325,4.900791374629669,2454.0,690.0,kinetoplastid kinetochore protein 13,Tb927.7.4860:mRNA-p1;Tb11.v5.0168.1-p1
126,Tb927.7.4870,6.68004960155228,6.238704117111538,5303.0,4933.0,"hypothetical protein, conserved",Tb927.7.4870:mRNA-p1;Tb11.v5.0169.1-p1
127,Tb927.7.4890,5.298803782415393,5.427354518128898,2012.0,2479.0,Present in the outer mitochondrial membrane proteome 34,Tb927.7.4890:mRNA-p1;Tb11.v5.0170.1-p1
128,Tb927.7.4900,6.403791397769438,6.481334026386012,4777.0,5382.0,5-3 exoribonuclease A,Tb927.7.4900:mRNA-p1;Tb11.v5.0171.1-p1
129,Tb927.7.4910,6.9482194851032695,6.894692853773062,5696.0,5918.0,"hypothetical protein, conserved",Tb927.7.4910:mRNA-p1;Tb11.v5.0172.1-p1
130,Tb11.v5.0174,4.930362503085325,5.4574729819225185,1087.0,2571.0,"ribonuclease H1, putative",Tb11.v5.0174.1-p1;Tb927.7.4930:mRNA-p1
131,Tb927.7.4940,4.739566257232668,5.592789770404833,707.0,3011.0,"serine peptidase, clan SC, family S9A-like protein",Tb927.7.4940:mRNA-p1;Tb11.v5.0175.1-p1
132,Tb927.7.4960,6.000141483535963,6.024333694489176,3831.0,4424.0,"hypothetical protein, conserved",Tb927.7.4960:mRNA-p1;Tb11.v5.0177.1-p1
133,Tb927.7.4980,5.049677932050559,5.666963542438158,1360.0,3270.0,Present in the outer mitochondrial membrane proteome 35,Tb927.7.4980:mRNA-p1;Tb11.v5.0179.1-p1
134,Tb927.7.4990,6.17937423752524,5.333370518317266,4265.0,2126.0,"hypothetical protein, conserved",Tb927.7.4990:mRNA-p1;Tb11.v5.0180.1-p1
135,Tb927.7.5020,7.9681951675273375,7.859356630784632,6452.0,6500.0,"60S ribosomal protein L19, putative",Tb927.7.5020:mRNA-p1;Tb927.7.5000:mRNA-p1;Tb11.v5.0182.1-p1;Tb11.v5.0181.1-p1
136,Tb927.7.5030,6.461944102193674,5.412864207123177,4916.0,2433.0,"hypothetical protein, conserved",Tb927.7.5030:mRNA-p1;Tb11.v5.0183.1-p1
137,Tb927.7.5040,4.535409639165536,4.844788486308053,351.0,579.0,"kinesin, putative",Tb927.7.5040:mRNA-p1;Tb11.v5.0184.1-p1
138,Tb927.7.5050,6.621768387007199,6.365657497291905,5202.0,5167.0,"hypothetical protein, conserved",Tb927.7.5050:mRNA-p1;Tb11.v5.0185.1-p1
139,Tb927.7.5070,4.324326663174579,4.64106358204202,140.0,242.0,hypothetical protein,Tb927.7.5070:mRNA-p1;Tb11.v5.0187.1-p1
140,Tb927.7.5080,5.028062428603374,5.6496846488648425,1319.0,3211.0,ATP-NAD kinase-like protein,Tb927.7.5080:mRNA-p1;Tb11.v5.0188.1-p1
141,Tb927.10.5950,5.18742710495956,5.361747652136514,1724.0,2233.0,"Serine/threonine-protein kinase NEK17, putative",Tb927.10.5950:mRNA-p1;Tb11.v5.0190.1-p1
142,Tb11.v5.0191,5.759954271362322,5.101773845378752,3212.0,1325.0,"ELMO/CED-12 family, putative",Tb11.v5.0191.1-p1;Tb927.10.5960:mRNA-p1
143,Tb927.10.5990,6.161044527044552,6.034969235131494,4215.0,4448.0,"Centrosomal protein of 57 kDa, putative",Tb927.10.5990:mRNA-p1;Tb11.v5.0193.1-p1
144,Tb11.v5.0196,7.645133341012922,7.220032990138954,6324.0,6181.0,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative",Tb11.v5.0196.1-p1;Tb927.10.6030:mRNA-p1
145,Tb927.10.6060,7.889839216340049,7.552085154330719,6421.0,6376.0,universal minicircle sequence binding protein 2,Tb927.10.6060:mRNA-p1;Tb11.v5.0199.1-p1
146,Tb927.10.6080,7.143056495094044,6.850075566129954,5926.0,5867.0,"proteasome subunit beta type-5, putative",Tb927.10.6080:mRNA-p1;Tb11.v5.0200.1-p1
147,Tb927.10.6110,5.247261079919435,4.869003950387981,1891.0,624.0,"hypothetical protein, conserved",Tb927.10.6110:mRNA-p1;Tb11.v5.0203.1-p1
148,Tb927.10.6120,5.187694115623882,5.653065361042036,1725.0,3224.0,"Peptidase M76 family, putative",Tb927.10.6120:mRNA-p1;Tb11.v5.0204.1-p1
149,Tb927.10.6130,5.214590143162775,5.163044936471266,1786.0,1515.0,"hypothetical protein, conserved",Tb927.10.6130:mRNA-p1;Tb11.v5.0205.1-p1
150,Tb927.10.6140,4.9862577304442715,4.987791685670933,1227.0,915.0,"phosphatidylinositolN- acetylglucosaminyltransferase subunit c, putative",Tb927.10.6140:mRNA-p1;Tb11.v5.0206.1-p1
151,Tb927.5.291b,5.89168070507188,5.758135199163112,3568.0,3585.0,"variant surface glycoprotein (VSG)-related, putative",Tb927.5.291b:mRNA-p1;Tb11.v5.0213.1-p1
